importsequencenumber,ff_rolename,ff_rparoletasklistid,statuscode,statecode,ff_name,ff_taskrolemappedcheckbox,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit,ff_task
,RPA_Reviewer_User,1efe14f1-2338-ed11-9db0-0022486db4db,Active,Active,RPA-1015,true,,,4131053,76cbd48b-e416-ed11-b83d-000d3a0a06c3,32f0bfc8-6b33-ed11-9db1-0022486dbe2f
,RPA_Reviewer_Org,cd906569-0335-ed11-9db1-0022486db4db,Active,Active,RPA-1094,true,,,4130984,76cbd48b-e416-ed11-b83d-000d3a0a06c3,a66eecfb-f913-ed11-b83d-000d3a5a9ab6
,RPA_Deployer,e1c2bc5d-2735-ed11-9db1-0022486db4db,Active,Active,RPA-1117,true,,,4130982,76cbd48b-e416-ed11-b83d-000d3a0a06c3,d91aa336-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,5748c9ba-0635-ed11-9db1-0022486db4db,Active,Active,RPA-1104,true,,,4130981,76cbd48b-e416-ed11-b83d-000d3a0a06c3,d91aa336-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Deployer,de7a4961-2735-ed11-9db1-0022486dbe2f,Active,Active,RPA-1119,true,,,4130979,76cbd48b-e416-ed11-b83d-000d3a0a06c3,4c87ff63-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,6cf586ba-0635-ed11-9db1-0022486dbe2f,Active,Active,RPA-1101,true,,,4130978,76cbd48b-e416-ed11-b83d-000d3a0a06c3,4c87ff63-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Tester,a24092d8-1a38-ed11-9db0-0022486dbe2f,Active,Active,RPA-1014,true,,,4130976,76cbd48b-e416-ed11-b83d-000d3a0a06c3,4c87ff63-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,5d48c9ba-0635-ed11-9db1-0022486db4db,Active,Active,RPA-1108,true,,,4130974,76cbd48b-e416-ed11-b83d-000d3a0a06c3,a60199e2-fb13-ed11-b83d-000d3a5a9ab6
,RPA_Tester,0a27bfd8-1a38-ed11-9db0-0022486db4db,Active,Active,RPA-1012,true,,,4130972,76cbd48b-e416-ed11-b83d-000d3a0a06c3,a60199e2-fb13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,5948c9ba-0635-ed11-9db1-0022486db4db,Active,Active,RPA-1105,true,,,4130970,76cbd48b-e416-ed11-b83d-000d3a0a06c3,6ff5ddfd-fb13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,68f586ba-0635-ed11-9db1-0022486dbe2f,Active,Active,RPA-1098,true,,,4130969,76cbd48b-e416-ed11-b83d-000d3a0a06c3,d228db8b-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,5b48c9ba-0635-ed11-9db1-0022486db4db,Active,Active,RPA-1107,true,,,4130967,76cbd48b-e416-ed11-b83d-000d3a0a06c3,a30199e2-fb13-ed11-b83d-000d3a5a9ab6
,RPA_Tester,0827bfd8-1a38-ed11-9db0-0022486db4db,Active,Active,RPA-1011,true,,,4130965,76cbd48b-e416-ed11-b83d-000d3a0a06c3,a30199e2-fb13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,66f586ba-0635-ed11-9db1-0022486dbe2f,Active,Active,RPA-1095,true,,,4130963,76cbd48b-e416-ed11-b83d-000d3a0a06c3,32f0bfc8-6b33-ed11-9db1-0022486dbe2f
,RPA_Tester,a04092d8-1a38-ed11-9db0-0022486dbe2f,Active,Active,RPA-1009,true,,,4130962,76cbd48b-e416-ed11-b83d-000d3a0a06c3,a66eecfb-f913-ed11-b83d-000d3a5a9ab6
,RPA_Deployer,18c3bc5d-2735-ed11-9db1-0022486db4db,Active,Active,RPA-1120,true,,,4130957,76cbd48b-e416-ed11-b83d-000d3a0a06c3,28bc4dac-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,4d48c9ba-0635-ed11-9db1-0022486db4db,Active,Active,RPA-1096,true,,,4130955,76cbd48b-e416-ed11-b83d-000d3a0a06c3,28bc4dac-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,5148c9ba-0635-ed11-9db1-0022486db4db,Active,Active,RPA-1099,true,,,4130953,76cbd48b-e416-ed11-b83d-000d3a0a06c3,07ff0878-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Deployer,d87a4961-2735-ed11-9db1-0022486dbe2f,Active,Active,RPA-1115,true,,,4130952,76cbd48b-e416-ed11-b83d-000d3a0a06c3,8000a021-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,5348c9ba-0635-ed11-9db1-0022486db4db,Active,Active,RPA-1102,true,,,4130950,76cbd48b-e416-ed11-b83d-000d3a0a06c3,8000a021-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Deployer,da7a4961-2735-ed11-9db1-0022486dbe2f,Active,Active,RPA-1116,true,,,4130949,76cbd48b-e416-ed11-b83d-000d3a0a06c3,dd061928-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,5548c9ba-0635-ed11-9db1-0022486db4db,Active,Active,RPA-1103,true,,,4130947,76cbd48b-e416-ed11-b83d-000d3a0a06c3,dd061928-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,6ef586ba-0635-ed11-9db1-0022486dbe2f,Active,Active,RPA-1106,true,,,4130946,76cbd48b-e416-ed11-b83d-000d3a0a06c3,ad8429dc-fb13-ed11-b83d-000d3a5a9ab6
,RPA_Tester,0627bfd8-1a38-ed11-9db0-0022486db4db,Active,Active,RPA-1010,true,,,4130944,76cbd48b-e416-ed11-b83d-000d3a0a06c3,ad8429dc-fb13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,4f48c9ba-0635-ed11-9db1-0022486db4db,Active,Active,RPA-1097,true,,,4130943,76cbd48b-e416-ed11-b83d-000d3a0a06c3,227a2c81-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Deployer,dc7a4961-2735-ed11-9db1-0022486dbe2f,Active,Active,RPA-1118,true,,,4130941,76cbd48b-e416-ed11-b83d-000d3a0a06c3,b7b66156-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Developer,6af586ba-0635-ed11-9db1-0022486dbe2f,Active,Active,RPA-1100,true,,,4130940,76cbd48b-e416-ed11-b83d-000d3a0a06c3,b7b66156-fc13-ed11-b83d-000d3a5a9ab6
,RPA_Tester,0c27bfd8-1a38-ed11-9db0-0022486db4db,Active,Active,RPA-1013,true,,,4130938,76cbd48b-e416-ed11-b83d-000d3a0a06c3,b7b66156-fc13-ed11-b83d-000d3a5a9ab6
